Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,"{'longitude': '-73.85304068857687', 'needs_recoding': False, 'latitude': '40.749678220373596', 'human_address': '{""address"":""104 04 Corona Avenue"",""city"":""Corona"",""state"":""NY"",""zip"":""11368""}'}",11368,40.744001,-73.858404,4,21,439,4047629,4019350068,Corona                                                                     
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"{'longitude': '-73.89520529393025', 'needs_recoding': False, 'latitude': '40.671962495106705', 'human_address': '{""address"":""2094 Pitkin Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11225""}'}",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,"{'longitude': '-73.8945487244044', 'needs_recoding': False, 'latitude': '40.8440002082747', 'human_address': '{""address"":""1826 Arthur Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10457""}'}",10457,40.844083,-73.894482,6,17,36901,2009891,2029450018,East Tremont                                                               
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,"{'longitude': '-73.98013566050324', 'needs_recoding': False, 'latitude': '40.71636701786879', 'human_address': '{""address"":""280 Delancey Street"",""city"":""New York"",""state"":""NY"",""zip"":""10002""}'}",10002,40.716079,-73.980373,3,2,1002,1078039,1003230001,Lower East Side                                                            
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,"{'longitude': '-73.96583011577816', 'needs_recoding': False, 'latitude': '40.58664543395709', 'human_address': '{""address"":""2601 Ocean Parkway"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11235""}'}",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Bronx,North Central Bronx Hospital,,718-519-5000,"{'longitude': '-73.88159287750194', 'needs_recoding': False, 'latitude': '40.88046337245572', 'human_address': '{""address"":""3424 Kossuth Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10467""}'}",10467,40.880462,-73.88164,7,11,421,2017787,2033270200,Norwood                                                                    
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"{'longitude': '-73.89520529393025', 'needs_recoding': False, 'latitude': '40.671962495106705', 'human_address': '{""address"":""2094 Pitkin Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11207""}'}",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,"{'longitude': '-73.85788741682623', 'needs_recoding': False, 'latitude': '40.87462600688702', 'human_address': '{""address"":""1012 Gunhill Road"",""city"":""Bronx"",""state"":""NY"",""zip"":""10469""}'}",10469,40.874636,-73.85784,12,12,370,2057204,2046370036,Williamsbridge-Olinville                                                   
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,"{'longitude': '-73.91922391666616', 'needs_recoding': False, 'latitude': '40.69473842718728', 'human_address': '{""address"":""335 Central Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11221""}'}",11221,40.694674,-73.919153,4,37,417,3076115,3033240001,Bushwick South                                                             
Child Health Center,Manhattan,Harlem Hospital Center,,212-939-1000,"{'longitude': '-73.9406028312914', 'needs_recoding': False, 'latitude': '40.814275217501645', 'human_address': '{""address"":""506 Lenox Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10037""}'}",10037,40.814358,-73.940659,10,9,212,1053899,1017330001,Central Harlem North-Polo Grounds                                          
Acute Care Hospital,Bronx,Jacobi Medical Center,,718-918-5000,"{'longitude': '-73.84657120408676', 'needs_recoding': False, 'latitude': '40.857397104610754', 'human_address': '{""address"":""1400 Pelham Parkway"",""city"":""Bronx"",""state"":""NY"",""zip"":""10461""}'}",10461,40.857427,-73.847079,11,13,296,2097550,2042050001,Pelham Parkway                                                             
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,"{'longitude': '-73.94399407154296', 'needs_recoding': False, 'latitude': '40.712103238035546', 'human_address': '{""address"":""279 Graham Ave"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11206""}'}",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,"{'longitude': '-73.97657284664467', 'needs_recoding': False, 'latitude': '40.73962320748018', 'human_address': '{""address"":""462 First Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10016""}'}",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,"{'longitude': '-73.88361254528269', 'needs_recoding': False, 'latitude': '40.75163073936716', 'human_address': '{""address"":""34 33 Junction Boulevard Jackson Heights"",""city"":""NY"",""state"":"""",""zip"":""11372""}'}",11372,40.754179,-73.872231,3,21,375,4042887,4017290027,North Corona                                                               
Child Health Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,"{'longitude': '-73.91931316170773', 'needs_recoding': False, 'latitude': '40.81090131647696', 'human_address': '{""address"":""454 142nd Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10454""}'}",,,,,,,,,
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,"{'longitude': '-73.98949714812117', 'needs_recoding': False, 'latitude': '40.578488319966645', 'human_address': '{""address"":""2201 Neptune Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11224""}'}",11224,40.578468,-73.989614,13,47,348,3188417,3069900001,Seagate-Coney Island                                                       
Child Health Center,Manhattan,Roberto Clemente Health Center,,212-387-7400,"{'longitude': '-73.97991662823794', 'needs_recoding': False, 'latitude': '40.72930119328952', 'human_address': '{""address"":""540 13th Street"",""city"":""New York"",""state"":""NY"",""zip"":""10009""}'}",,,,,,,,,
Diagnostic & Treatment Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500 ,"{'longitude': '-73.94919748407278', 'needs_recoding': False, 'latitude': '40.809338651191524', 'human_address': '{""address"":""215 125 Street"",""city"":""New York"",""state"":""NY"",""zip"":""10027""}'}",,,,,,,,,
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,"{'longitude': '-73.98241301998932', 'needs_recoding': False, 'latitude': '40.69205340232306', 'human_address': '{""address"":""295 Flatbush Avenue Extension"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11201""}'}",11201,40.691986,-73.982496,2,35,15,3058406,3020790021,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Child Health Center,Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,between A.C. Powell & F. Douglas Blvds.,212-865-1300,"{'longitude': '-73.9496577551632', 'needs_recoding': False, 'latitude': '40.811276995392966', 'human_address': '{""address"":""281 127th Street"",""city"":""New York"",""state"":""NY"",""zip"":""10027""}'}",,,,,,,,,
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,"{'longitude': '-73.97623557216579', 'needs_recoding': False, 'latitude': '40.69514358466528', 'human_address': '{""address"":""100 Portland Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11205""}'}",,,,,,,,,
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,"{'longitude': '-73.98759853472393', 'needs_recoding': False, 'latitude': '40.712841397447676', 'human_address': '{""address"":""227 Madison Street"",""city"":""New York"",""state"":""NY"",""zip"":""10002""}'}",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Acute Care Hospital,Brooklyn,Kings County Hospital Center,,718-245-3131,"{'longitude': '-73.94466261553725', 'needs_recoding': False, 'latitude': '40.65576180860461', 'human_address': '{""address"":""451 Clarkson Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11203""}'}",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Acute Care Hospital,Bronx,North Central Bronx Hospital,,718-519-5000,"{'longitude': '-73.88159287750194', 'needs_recoding': False, 'latitude': '40.88046337245572', 'human_address': '{""address"":""3424 Kossuth Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10467""}'}",10467,40.880462,-73.88164,7,11,421,2017787,2033270200,Norwood                                                                    
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,"{'longitude': '-73.79282099978928', 'needs_recoding': False, 'latitude': '40.71311535449007', 'human_address': '{""address"":""82 68 164th Street"",""city"":""Jamaica"",""state"":""NY"",""zip"":""11432""}'}",11432,40.71725,-73.803433,8,24,1267,4442431,4068580001,Pomonok-Flushing Heights-Hillcrest                                         
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,"{'longitude': '-73.9048471440804', 'needs_recoding': False, 'latitude': '40.74519376448069', 'human_address': '{""address"":""50 53 Newtown Road"",""city"":""Woodside"",""state"":""NY"",""zip"":""11377""}'}",11377,40.753164,-73.910752,1,26,163,4430994,4007360002,Astoria                                                                    
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,,212-423-6262,"{'longitude': '-73.9437956536432', 'needs_recoding': False, 'latitude': '40.784557024104835', 'human_address': '{""address"":""1901 First Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10029""}'}",10029,40.784557,-73.94378,11,8,15602,1083929,1016690001,East Harlem South                                                          
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,"{'longitude': '-73.93570169738597', 'needs_recoding': False, 'latitude': '40.67349222287333', 'human_address': '{""address"":""1218 Prospect Place"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11213""}'}",11213,40.67353,-73.935845,8,36,345,3036147,3013650009,Crown Heights North                                                        
Child Health Center,Bronx,Lincoln  Medical &  Mental Health Center,,718-579-5000,"{'longitude': '-73.92420027148326', 'needs_recoding': False, 'latitude': '40.81768848404917', 'human_address': '{""address"":""234 149th Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10451""}'}",,,,,,,,,
Child Health Center,Bronx,Melrose Houses Child Health Clinic,between Morris Ave. & Courtlandt Ave.,718-292-2820,"{'longitude': '-73.91770978721219', 'needs_recoding': False, 'latitude': '40.82130119464553', 'human_address': '{""address"":""348 156th Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10451""}'}",,,,,,,,,
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,"{'longitude': '-73.95404546005379', 'needs_recoding': False, 'latitude': '40.729665609685696', 'human_address': '{""address"":""875 Manhattan Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}'}",11222,40.729708,-73.954055,1,33,565,3064836,3025630048,Greenpoint                                                                 
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,"{'longitude': '-73.95978265948307', 'needs_recoding': False, 'latitude': '40.69036662899639', 'human_address': '{""address"":""434 Dekalb Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11205""}'}",11205,40.690361,-73.960108,3,35,233,3321871,3019380001,Bedford                                                                    
Child Health Center,Manhattan,Grant Houses Clinic,,212-678-8420,"{'longitude': '-73.95843049269739', 'needs_recoding': False, 'latitude': '40.81525566048751', 'human_address': '{""address"":""3170 Broadway"",""city"":""New York"",""state"":""NY"",""zip"":""10027""}'}",10027,40.814794,-73.958928,9,7,211,1084118,1019800001,Morningside Heights                                                        
Child Health Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500,"{'longitude': '-73.94919748407278', 'needs_recoding': False, 'latitude': '40.809338651191524', 'human_address': '{""address"":""215 125th Street"",""city"":""New York"",""state"":""NY"",""zip"":""10027""}'}",,,,,,,,,
Child Health Center,Brooklyn,Kings County Hospital Center,,718-245-3131,"{'longitude': '-73.94466261553725', 'needs_recoding': False, 'latitude': '40.65576180860461', 'human_address': '{""address"":""451 Clarkson Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11203""}'}",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Child Health Center,Manhattan,La Clinica Del Barrio,,212-410-7940,"{'longitude': '-73.93266794517427', 'needs_recoding': False, 'latitude': '40.79820504446883', 'human_address': '{""address"":""413 120th Street"",""city"":""New York"",""state"":""NY"",""zip"":""10035""}'}",,,,,,,,,
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,"{'longitude': '-73.90908238517792', 'needs_recoding': False, 'latitude': '40.68430356626175', 'human_address': '{""address"":""1420 Bushwick Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11207""}'}",11207,40.684318,-73.909056,4,37,403,3080067,3034440022,Bushwick South                                                             
Diagnostic & Treatment Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,"{'longitude': '-73.92003403701939', 'needs_recoding': False, 'latitude': '40.83590638794867', 'human_address': '{""address"":""1225 Gerard Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10452""}'}",10452,40.835957,-73.919986,4,16,197,2003015,2024890060,West Concourse                                                             
Child Health Center,Bronx,Jacobi Medical Center,,718-918-5000,"{'longitude': '-73.84657120408676', 'needs_recoding': False, 'latitude': '40.857397104610754', 'human_address': '{""address"":""1400 Pelham Parkway"",""city"":""Bronx"",""state"":""NY"",""zip"":""10461""}'}",10461,40.857427,-73.847079,11,13,296,2097550,2042050001,Pelham Parkway                                                             
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,"{'longitude': '-73.90543308996985', 'needs_recoding': False, 'latitude': '40.702949636007894', 'human_address': '{""address"":""769 Onderdonk Avenue"",""city"":""Ridgewood"",""state"":""NY"",""zip"":""11385""}'}",11385,40.702972,-73.905489,5,34,549,4083018,4034700054,Ridgewood                                                                  
